---
Terrain Height [ft] Valid 1200 BST ~Z75~(1100Z)~Z~ WED 20 Jun 2012 ~Z75~[155hrFcst@1157z]~Z~
Model= RASP Region= UK12+6 Grid= d2 Reskm= 12 Indexs= 1 57 1 90 Proj= lambert 12000 12000 60.0000 60.0000 17.0000 54.5000 -3.5000
Day= 2012 6 20 WED ValidLST= 1200 BST ValidZ= 1100 Fcst= 155.0 Init= 150 Param= wrf=HGT Unit= [ft] Mult= 1 Min= 0 Max= 2192
220 249 295 360 413 459 469 528 552 493 554 610 481 282 230 410 583 393 89 0 0 94 297 485 746 1007 1054 1019 936 929 1071 1220 1250 1051 753 532 501 575 504 278 76 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
179 210 259 329 389 441 496 523 503 493 656 792 666 391 267 461 623 350 49 0 0 23 107 296 590 856 1029 1107 1095 1116 1202 1347 1379 1134 811 572 440 343 235 133 39 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
127 159 209 283 349 412 508 500 420 443 643 767 689 479 294 454 630 338 41 0 0 0 0 89 264 468 683 887 1036 1047 1036 1145 1195 1119 1000 866 754 563 296 106 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
84 114 163 233 299 391 505 485 365 317 405 451 445 413 258 310 449 263 68 75 62 31 53 54 62 153 353 665 891 840 785 921 1034 1024 951 910 891 680 318 76 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
48 75 118 181 243 335 466 490 376 254 248 257 237 243 159 126 151 86 64 172 191 154 227 178 42 66 267 565 686 582 601 792 877 725 518 475 499 367 142 21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
22 43 78 128 180 246 392 463 363 257 307 352 231 104 48 27 0 0 22 122 245 328 392 282 122 205 369 456 420 366 460 549 481 299 132 88 98 63 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4 20 47 84 126 167 271 325 246 194 258 277 152 30 0 0 0 0 0 29 168 356 380 224 162 355 466 383 357 427 422 286 200 201 149 84 70 43 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 6 25 50 81 101 136 144 103 78 76 66 31 0 0 0 0 51 98 59 62 242 332 209 213 370 412 373 473 582 459 330 398 465 373 253 192 98 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 3 13 27 47 57 62 54 36 18 0 0 0 0 0 0 8 84 200 208 113 204 359 321 407 513 446 444 510 529 515 586 643 559 408 277 180 75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 5 11 22 28 33 29 19 10 0 0 0 0 0 0 0 63 161 251 235 241 318 373 567 724 712 726 713 713 774 736 583 408 279 233 215 157 81 24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 0 1 3 7 10 13 12 8 4 0 0 0 0 0 0 0 18 45 100 166 192 205 350 578 773 963 1084 1113 1132 1135 1036 833 551 334 332 383 325 199 87 27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 1 3 4 5 5 3 2 0 0 0 0 0 0 0 0 0 0 35 65 97 295 565 792 1046 1280 1429 1444 1431 1420 1213 859 639 612 619 559 414 250 141 56 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19 54 104 219 457 726 1002 1301 1502 1572 1581 1452 1152 993 1098 1194 1216 1156 922 641 419 203 43 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 73 208 288 208 255 570 1004 1313 1415 1496 1567 1428 1194 1294 1618 1795 1819 1648 1286 921 621 338 111 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 125 340 450 379 331 515 949 1362 1519 1574 1681 1662 1620 1839 2040 2054 1944 1631 1222 866 596 374 181 48 0 0 0 0 0 0 1 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 113 303 433 542 633 649 783 1169 1483 1659 1794 1749 1725 1943 2192 2181 1924 1569 1191 875 624 411 255 113 22 0 0 1 0 0 1 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 3 45 145 252 419 714 881 831 892 1121 1465 1735 1735 1639 1669 1896 1979 1798 1585 1312 1001 713 465 317 203 86 18 0 1 0 0 1 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 34 70 205 576 953 1070 1001 1003 1199 1465 1726 1858 1692 1454 1366 1369 1369 1253 981 672 456 360 288 146 29 0 2 1 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 58 109 377 814 1187 1282 1186 1106 1106 1303 1594 1598 1297 1058 1042 1041 939 767 548 379 321 268 127 20 0 2 1 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 99 101 70 245 624 1037 1407 1538 1351 1055 862 870 990 993 853 795 732 561 451 368 236 157 117 47 0 0 1 1 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 59 117 193 280 400 654 1206 1681 1601 1214 798 470 394 420 366 345 321 207 141 127 71 26 0 0 0 0 0 0 0 0 0 0 0 0 0 0
